Date,Balance
1672843266976,4854.6475
1672843282317,4854.5312
1672843290238,4854.5312
1672843354231,4856.185
1672843370499,4856.1353
1672843384551,4856.1353
1672843774580,4856.1353
1672843800506,4856.1353
1672843800535,4855.907
1672843813312,4855.907
1672843814128,4855.907
1672844037227,4860.4404
1672844069767,4860.324
1672844082483,4860.324
1672844164202,4861.8096
1672844180683,4861.694
1672844189077,4861.694
1672844389963,4861.694
1672844394117,4861.694
1672844394150,4861.466
1672844406475,4861.466
1672844407049,4861.466
1672844415369,4861.466
1672844543742,4865.583
1672844560306,4865.467
1672844570349,4865.467
1672844695496,4865.467
1672844702647,4865.467
1672844710413,4865.467
1672844744205,4865.467
1672844746303,4865.467
1672844756187,4865.467
1672844756803,4865.467
1672844770531,4865.467
1672844771320,4865.467
1672844771792,4865.467
1672844773475,4865.467
1672844773509,4865.211
1672844775289,4865.211
1672844780641,4865.211
1672844781801,4865.211
1672844782075,4865.183
1672844783614,4865.183
1672844787735,4865.183
1672844788555,4865.183
1672844788556,4865.183
1672844788575,4865.183
1672844788783,4865.183
1672844789312,4865.183
1672844790805,4865.183
1672844793159,4865.183
1672844793211,4865.183
1672844793981,4865.183
1672844794513,4865.183
1672844794788,4865.183
1672844795795,4865.183
1672844795893,4865.183
1672844797055,4865.183
1672844798953,4865.183
1672844800735,4865.183
1672844804527,4865.183
1672844810077,4865.183
1672844810100,4864.956
1672844814737,4864.956
1672844814767,4864.7046
1672844816677,4864.7046
1672844817162,4864.7046
1672844822060,4864.7046
1672844822519,4864.7046
1672844822550,4864.4995
1672844822665,4864.4995
1672844826583,4864.4995
1672844826667,4864.4995
1672844826968,4864.4995
1672844827250,4864.4995
1672844829661,4864.4995
1672844830212,4864.4995
1672844836356,4864.4995
1672844836980,4864.4995
1672844839987,4864.4995
1672844839997,4864.4995
1672844840570,4864.4995
1672844840675,4864.4995
1672844840700,4864.4995
1672844841067,4864.4995
1672844847560,4864.4995
1672844848040,4864.4995
1672844865732,4864.4995
1672844866370,4864.4995
1672844876631,4864.4995
1672844876669,4864.455
1672844882276,4864.455
1672844882869,4864.455
1672844884546,4864.455
1672844885252,4864.455
1672844887413,4864.455
1672844887874,4864.455
1672844897015,4864.455
1672844911683,4864.455
1672844912558,4864.455
1672844913079,4864.455
1672844913082,4864.455
1672844913523,4864.455
1672844914840,4864.455
1672844915459,4864.455
1672844917340,4864.455
1672844919665,4864.455
1672844920608,4864.455
1672844921243,4864.455
1672844922508,4864.455
1672844923387,4864.455
1672844928510,4864.455
1672844928895,4864.455
1672844929639,4864.455
1672844930385,4864.455
1672844933812,4864.455
1672844933986,4864.455
1672844934645,4864.455
1672844935039,4864.455
1672844936294,4864.455
1672844937003,4864.455
1672844940084,4864.455
1672844940529,4864.455
1672844940610,4864.455
1672844941053,4864.455
1672844941156,4864.455
1672844941649,4864.455
1672844950271,4864.455
1672844950700,4864.455
1672844956136,4864.455
1672844956998,4864.455
1672844957375,4864.455
1672844957834,4864.455
1672844959116,4864.455
1672844959709,4864.455
1672844959777,4864.455
1672844960313,4864.455
1672844960978,4864.455
1672844961075,4864.455
1672844961095,4864.455
1672844961266,4864.455
1672844961425,4864.455
1672844962116,4864.455
1672844962616,4864.455
1672844962692,4864.455
1672844962925,4864.455
1672844963161,4864.455
1672844964886,4864.455
1672844965175,4864.455
1672844965208,4863.9985
1672844965466,4863.9985
1672844965985,4863.9985
1672844967308,4863.9985
1672844967427,4863.9985
1672844969914,4863.9985
1672844969931,4863.544
1672844971936,4863.544
1672844972378,4863.544
1672844972859,4863.544
1672844972870,4863.544
1672844972919,4863.544
1672844973498,4863.544
1672844975253,4863.544
1672844975580,4863.544
1672844982319,4863.544
1672844982353,4863.317
1672844983359,4863.317
1672844983393,4863.2563
1672844987305,4863.2563
1672844987324,4862.9443
1672844987926,4862.9443
1672844988365,4862.9443
1672844988478,4862.9443
1672844991393,4862.9443
1672844991897,4862.9443
1672844993273,4862.9443
1672844993737,4862.9443
1672844995266,4862.9443
1672844995285,4862.825
1672844997023,4862.825
1672844997044,4862.7573
1672845003852,4862.7573
1672845004536,4862.7573
1672845004643,4862.7573
1672845004668,4862.6416
1672845005199,4862.6416
1672845005218,4862.5244
1672845008450,4862.5244
